Sex,Age,Breed,Number,Accommodation,Area,Ext,Obs,Shy,Calm,Afraid,Clever,Vigilant,Persevering,Affectionate,Friendly,Lonely,Brutal,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBird,PredMamm,length,origin,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly
1,4,0,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,0,0,9,15,6,10,3,3,2,5,5,3,5,5
1,4,1,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,1,9,10,7,10,5,3,4,4,5,4,4,3
1,4,2,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,2,11,15,8,13,4,4,4,4,4,3,4,4
1,4,3,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,2,3,15,20,7,12,3,3,4,2,4,4,4,3
1,4,3,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,2,3,15,20,7,12,3,3,4,2,4,4,4,3
1,4,4,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,3,3,14,18,8,15,4,3,5,3,4,5,4,3
1,4,5,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,4,4,12,15,11,24,4,4,3,4,5,2,4,4
1,4,6,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,5,12,14,8,16,4,2,4,4,4,5,4,3
1,4,7,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,6,15,15,10,10,5,1,4,4,5,3,4,4
1,4,8,2,1,1,1,1,2,4,2,4,4,4,4,4,2,2,3,2,2,3,3,2,1,1,1,7,15,18,8,15,5,2,4,4,4,4,4,3
